             time,    yaw(業),  pitch(業),   roll(業),a_x(業/s^2),a_y(業/s^2),a_z(業/s^2),  w_x(業/s),  w_y(業/s),  w_z(業/s),         Q0,         Q1,         Q2,         Q3,  mag_x(mG),  mag_y(mG),  mag_z(mG)
201221_163819.314,     -10.01,      -0.16,      -0.10,       0.03,       0.01,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.330,     -10.01,      -0.16,      -0.10,       0.06,       0.00,       9.81,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.378,     -10.01,      -0.16,      -0.10,       0.02,      -0.02,       9.81,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.487,     -10.01,      -0.16,      -0.10,       0.03,      -0.02,       9.81,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.677,     -10.01,      -0.16,      -0.10,       0.00,      -0.04,       9.79,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.688,     -10.01,      -0.16,      -0.10,       0.11,      -0.01,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.921,     -10.01,      -0.16,      -0.10,       0.05,      -0.02,       9.81,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163819.935,     -10.01,      -0.16,      -0.10,      -0.01,      -0.02,       9.83,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.109,     -10.01,      -0.16,      -0.10,      -0.00,      -0.03,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.125,     -10.01,      -0.16,      -0.10,       0.03,      -0.01,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.141,     -10.01,      -0.16,      -0.10,       0.05,      -0.01,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.377,     -10.01,      -0.16,      -0.10,       0.02,      -0.02,       9.81,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.394,     -10.01,      -0.16,      -0.10,       0.00,      -0.03,       9.82,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.591,     -10.01,      -0.16,      -0.10,       0.04,      -0.01,       9.83,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.609,     -10.01,      -0.16,      -0.10,       0.04,      -0.01,       9.83,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.803,     -10.01,      -0.16,      -0.10,       0.01,      -0.03,       9.83,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
201221_163820.859,     -10.01,      -0.16,      -0.10,       0.00,      -0.02,       9.80,       0.00,       0.00,       0.00,      -1.00,       0.00,       0.00,       0.09,      -1.00,      99.00,     -84.00
